Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-19 17:47:06,2017-07-19 17:47:25,19.241s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-19 17:47:06,2017-07-19 17:47:18,11.891s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-19 17:47:07,2017-07-19 17:47:09,2.780s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-19 17:47:09,2017-07-19 17:47:15,5.975s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-19 17:47:15,2017-07-19 17:47:16,0.525s,PASSED
click,Chrome 59.0.3071.115,,2017-07-19 17:47:16,2017-07-19 17:47:17,1.390s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-19 17:47:17,2017-07-19 17:47:18,0.841s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-19 17:47:18,2017-07-19 17:47:25,7.033s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-19 17:47:18,2017-07-19 17:47:24,5.958s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-19 17:47:24,2017-07-19 17:47:25,0.845s,PASSED
